,QuestionID,QuestionText
49,QID44_2,"Ideally, what specific information within a message would you expect a chatbot to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The message metadata, such as time sent."
50,QID44_3,"Ideally, what specific information within a message would you expect a chatbot to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s username. A user has the same username in different groups."
51,QID44_4,"Ideally, what specific information within a message would you expect a chatbot to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s pseudonym. A user has different pseudonyms in different groups."
52,QID44_5,"Ideally, what specific information within a message would you expect a chatbot to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s metadata (other than the username), such as profile picture, gender, and email addresses."
53,QID45_1,"Ideally, what information about the group itself would you expect a chatbot to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The name of the group."
54,QID45_2,"Ideally, what information about the group itself would you expect a chatbot to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The list of group members."
55,QID45_3,"Ideally, what information about the group itself would you expect a chatbot to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The profile pictures of group members."
56,QID45_4,"Ideally, what information about the group itself would you expect a chatbot to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The roles or statuses of group members (e.g., admin, moderator)."
57,QID79_1,"Ideally, the numbers should be in ascending order, i.e., from 1 to 5. Please sort them accordingly. - This is one."
58,QID79_2,"Ideally, the numbers should be in ascending order, i.e., from 1 to 5. Please sort them accordingly. - This is four."
59,QID79_3,"Ideally, the numbers should be in ascending order, i.e., from 1 to 5. Please sort them accordingly. - This is two."
60,QID79_4,"Ideally, the numbers should be in ascending order, i.e., from 1 to 5. Please sort them accordingly. - This is five."
61,QID79_5,"Ideally, the numbers should be in ascending order, i.e., from 1 to 5. Please sort them accordingly. - This is three."
62,QID53,"Ideally, what type of messages do you expect Reminder has access to? - Selected Choice"
63,QID53_6_TEXT,"Ideally, what type of messages do you expect Reminder has access to? - Other (please specify) - Text"
64,QID54_1,"Ideally, what specific information within a message do you expect Reminder to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The content of the message itself."
65,QID54_2,"Ideally, what specific information within a message do you expect Reminder to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The message metadata, such as time sent."
66,QID54_3,"Ideally, what specific information within a message do you expect Reminder to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s username. A user has the same username in different groups."
67,QID54_4,"Ideally, what specific information within a message do you expect Reminder to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s pseudonym. A user has different pseudonyms in different groups."
68,QID54_5,"Ideally, what specific information within a message do you expect Reminder to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s metadata (other than the username), such as profile picture, gender, and email addresses."
69,QID55_1,"Ideally, what information about the group itself do you expect Reminder to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The name of the group."
70,QID55_2,"Ideally, what information about the group itself do you expect Reminder to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The list of group members."
71,QID55_3,"Ideally, what information about the group itself do you expect Reminder to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The profile pictures of group members."
72,QID55_4,"Ideally, what information about the group itself do you expect Reminder to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The roles or statuses of group members (e.g., admin, moderator)."
73,QID57,"Ideally, what type of messages do you expect Moderation Helper has access to? - Selected Choice"
74,QID57_6_TEXT,"Ideally, what type of messages do you expect Moderation Helper has access to? - Other (please specify) - Text"
75,QID58_1,"Ideally, what specific information within a message would you expect Moderation Helper to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The content of the message itself."
76,QID58_2,"Ideally, what specific information within a message would you expect Moderation Helper to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The message metadata, such as time sent."
77,QID58_3,"Ideally, what specific information within a message would you expect Moderation Helper to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s username. A user has the same username in different groups."
78,QID58_4,"Ideally, what specific information within a message would you expect Moderation Helper to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s pseudonym. A user has different pseudonyms in different groups."
79,QID58_5,"Ideally, what specific information within a message would you expect Moderation Helper to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The sender’s metadata (other than the username), such as profile picture, gender, and email addresses."
80,QID80_1,"Ideally, the following options should be in alphabetical order. Please sort them accordingly. - Artificial Intelligence"
81,QID80_2,"Ideally, the following options should be in alphabetical order. Please sort them accordingly. - Data Analysis"
82,QID80_3,"Ideally, the following options should be in alphabetical order. Please sort them accordingly. - Chatbots"
83,QID80_4,"Ideally, the following options should be in alphabetical order. Please sort them accordingly. - Blockchain"
84,QID80_5,"Ideally, the following options should be in alphabetical order. Please sort them accordingly. - Encryption"
85,QID59_1,"Ideally, what information about the group itself would you expect Moderation Helper to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The name of the group."
86,QID59_2,"Ideally, what information about the group itself would you expect Moderation Helper to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The list of group members."
87,QID59_3,"Ideally, what information about the group itself would you expect Moderation Helper to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The profile pictures of group members."
88,QID59_4,"Ideally, what information about the group itself would you expect Moderation Helper to be able to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 4 being least expected to be accessible. - The roles or statuses of group members (e.g., admin, moderator)."
89,QID63,Age Group
90,QID64,Gender - Selected Choice
91,QID64_4_TEXT,Gender - Prefer to self-describe - Text
92,QID65,Highest level of education completed
93,QID66,Technical work experience
94,QID67,Race and ethnicity - Selected Choice
95,QID67_6_TEXT,Race and ethnicity - Prefer to self-describe - Text
96,PROLIFIC_PID,PROLIFIC_PID
